ID,PerDiem,PPG,PPI,YoY PPI,YoY Min Emp,YoY Labor Force,YoY Emp,YoY UnEmp Rate,RevPAR,YoY RevPAR
a171,189,3.095,147.9,2.57%,6.77%,2.05%,2.56%,-8.33%,$74.06 ,14.90%
a172,189,3.184,144.7,1.83%,6.32%,1.65%,2.61%,-14.75%,$58.75 ,13.80%
a173,189,3.188,147.1,3.45%,5.64%,1.96%,3.27%,-17.91%,$70.83 ,9.40%
a174,189,3.189,150.4,3.30%,6.00%,2.00%,2.90%,-12.70%,$92.40 ,5.70%
a175,189,3.366,152.3,1.06%,5.29%,2.40%,3.24%,-13.33%,$90.30 ,15.00%
a176,189,3.527,152.8,2.00%,4.56%,1.90%,3.14%,-20.69%,$84.68 ,3.30%
a177,189,3.526,154.6,3.62%,4.83%,1.82%,3.02%,-18.33%,$101.84 ,14.80%
a178,189,3.524,155.8,3.25%,4.10%,1.86%,3.27%,-19.70%,$80.58 ,10.30%
a179,189,3.485,156.8,1.49%,5.00%,2.19%,3.27%,-15.63%,$76.55 ,2.40%
a180,189,3.375,158.7,4.75%,4.98%,2.11%,3.13%,-14.75%,$73.75 ,7.90%
a181,189,3.27,156,3.04%,5.58%,2.40%,3.68%,-18.64%,$80.07 ,9.80%
a182,203,3.079,159,5.37%,6.00%,3.59%,5.06%,-22.41%,$93.11 ,10.80%
a183,203,2.835,152.2,2.91%,5.78%,2.88%,4.11%,-20.00%,$76.86 ,3.80%
a184,203,2.472,149.2,3.11%,7.34%,2.62%,3.87%,-21.15%,$63.46 ,8.00%
a185,203,2.009,152.1,3.40%,6.37%,3.66%,4.83%,-18.18%,$72.81 ,2.80%
a186,203,2.071,155.3,3.26%,5.39%,3.36%,4.71%,-21.82%,$91.77 ,-0.70%
a208,366,3.612,145.2,2.76%,1.94%,0.81%,0.72%,1.18%,$240.55 ,8.70%
a209,366,3.548,144.1,2.20%,2.17%,0.76%,1.04%,-2.33%,$221.67 ,6.80%
a210,366,3.438,142.9,3.33%,3.52%,1.02%,0.89%,1.19%,$217.39 ,5.00%
a211,275,3.563,142.4,1.71%,6.26%,0.91%,0.78%,1.10%,$121.27 ,1.90%
a212,275,3.759,143.9,2.13%,6.00%,1.32%,0.92%,3.33%,$133.18 ,8.50%
a213,275,3.901,149,3.76%,4.45%,1.21%,0.77%,4.71%,$170.45 ,9.70%
a214,312,4.014,147.6,3.58%,2.60%,1.07%,0.67%,4.94%,$208.41 ,9.40%
a215,312,3.875,146,2.38%,1.00%,1.52%,1.03%,4.82%,$217.88 ,5.00%
a216,312,3.653,147.2,3.74%,0.86%,1.85%,1.41%,4.65%,$215.97 ,5.10%
a217,287,3.648,148,3.21%,0.00%,1.46%,0.96%,4.49%,$187.82 ,3.10%
a218,287,3.873,148.7,3.62%,0.09%,0.81%,0.62%,2.33%,$192.64 ,4.50%
a219,366,4.014,148.4,3.34%,0.09%,0.89%,1.27%,-4.60%,$244.54 ,-2.90%
a220,366,3.963,148.2,2.07%,0.81%,1.25%,1.52%,-2.33%,$250.58 ,4.20%
a221,366,3.811,144.2,0.07%,0.62%,0.69%,0.95%,-2.38%,$240.64 ,8.60%
a222,366,3.673,142.1,-0.56%,3.21%,0.90%,1.16%,-2.35%,$246.12 ,13.20%
a223,275,3.642,142.2,-0.14%,4.73%,1.06%,1.18%,-1.09%,$143.13 ,18.00%
a224,275,3.855,145.6,1.18%,4.39%,0.29%,1.04%,-7.53%,$147.94 ,11.10%
a225,275,3.839,150.7,1.14%,4.49%,-0.04%,0.94%,-8.99%,$190.78 ,11.90%
a226,312,3.695,149.8,1.49%,6.04%,0.47%,1.47%,-10.59%,$213.82 ,2.60%
a227,312,3.675,149.2,2.19%,6.40%,0.30%,1.28%,-10.34%,$233.90 ,7.40%
a228,312,3.695,150.9,2.51%,6.08%,0.33%,1.32%,-10.00%,$223.65 ,3.60%
a229,287,3.782,154.5,4.39%,6.50%,0.46%,1.74%,-11.83%,$195.70 ,4.20%
a230,287,3.813,151.5,1.88%,6.94%,0.58%,1.65%,-11.36%,$202.17 ,4.90%
a231,295,3.739,151.4,2.02%,7.15%,0.21%,0.93%,-7.23%,$260.65 ,6.60%
a232,374,3.527,150.9,1.82%,7.70%,-0.93%,-0.15%,-9.52%,$259.73 ,3.60%
a233,374,3.479,147.9,2.57%,7.79%,-0.32%,0.96%,-14.63%,$221.80 ,-7.80%
a234,374,3.6,144.7,1.83%,3.85%,-0.81%,0.88%,-19.28%,$242.06 ,-1.60%
a235,262,3.585,147.1,3.45%,2.47%,-0.54%,1.36%,-19.78%,$145.28 ,1.50%
a236,262,3.577,150.4,3.30%,1.77%,0.12%,1.38%,-12.79%,$150.41 ,1.70%
a237,338,3.681,152.3,1.06%,3.24%,0.67%,1.70%,-12.35%,$176.55 ,-7.50%
a238,338,3.75,152.8,2.00%,3.83%,-0.23%,1.31%,-19.74%,$225.49 ,5.50%
a239,338,3.821,154.6,3.62%,5.05%,-0.22%,1.32%,-17.95%,$249.14 ,6.50%
a240,338,3.844,155.8,3.25%,5.76%,-0.45%,1.47%,-20.99%,$235.60 ,5.30%
a241,300,3.815,156.8,1.49%,6.36%,-0.18%,1.37%,-17.07%,$200.47 ,2.40%
a242,300,3.648,158.7,4.75%,5.59%,-0.17%,1.42%,-17.95%,$213.15 ,5.40%
a243,374,3.527,156,3.04%,6.27%,-0.21%,1.61%,-22.08%,$276.13 ,5.90%
a244,375,3.353,159,5.37%,3.73%,0.90%,2.84%,-22.37%,$267.34 ,2.90%
a245,375,3.142,152.2,2.91%,3.17%,0.70%,2.02%,-17.14%,$222.47 ,0.30%
a246,375,2.862,149.2,3.11%,4.48%,0.58%,1.83%,-17.91%,$241.34 ,-0.30%
a247,268,2.398,152.1,3.40%,4.06%,0.84%,1.80%,-10.96%,$126.41 ,-13.00%
a248,268,2.344,155.3,3.26%,3.23%,0.46%,1.55%,-13.33%,$146.84 ,-2.40%
