X1,X2,X3,X4,X5,X6,X7,X8,Y1
PerDiem,Price Per Gallon ,PPI for Accommodations,YoY Change to PPI,YoY Change Mining and Logging Emp,YoY Change Labor Force,YoY Change Employment,YoY Change in UnEmp Rate,RevPAR
180,3.315,148,0.032078103,0.117117117,0.026785075,0.04053179,-0.152941176,59.76050314
180,3.561,148.7,0.036236934,0.099778271,0.023080902,0.03845854,-0.170731707,61.22328003
180,3.69,148.4,0.033426184,0.098451327,0.025633868,0.044727348,-0.2125,63.03021647
180,3.528,148.2,0.020661157,0.090413943,0.025876033,0.041436163,-0.184210526,74.05499298
180,3.245,144.2,0.000693963,0.085405405,0.024136297,0.037944559,-0.166666667,64.4823252
180,3.151,142.1,-0.005598321,0.078891258,0.025217433,0.035989076,-0.14084507,51.62250395
180,3.248,142.2,-0.001404494,0.090712743,0.02981573,0.036989869,-0.094594595,64.76633377
180,3.55,145.6,0.01181376,0.088960343,0.027985249,0.037309299,-0.125,87.41370661
180,3.611,150.7,0.011409396,0.081567797,0.025502576,0.034387018,-0.117647059,78.54406774
180,3.5,149.8,0.014905149,0.085263158,0.031462962,0.038845476,-0.107692308,82.00301726
180,3.442,149.2,0.021917808,0.075804777,0.028757003,0.036257098,-0.104477612,88.68094006
180,3.421,150.9,0.02513587,0.075897436,0.026313416,0.034106644,-0.095890411,73.03395194
180,3.486,154.5,0.043918919,0.069556452,0.026867991,0.036112242,-0.111111111,74.7526416
180,3.495,151.5,0.018829859,0.072580645,0.027692776,0.035462088,-0.102941176,68.34835404
180,3.361,151.4,0.020215633,0.065458207,0.021744298,0.025757592,-0.063492063,72.92670889
189,3.152,150.9,0.018218623,0.065934066,0.01152039,0.015511888,-0.064516129,84.06279988
189,3.095,147.9,0.025658807,0.067729084,0.02049006,0.025561034,-0.083333333,74.06212183
189,3.184,144.7,0.018296974,0.063241107,0.016533311,0.026068706,-0.147540984,58.75022508
189,3.188,147.1,0.034458509,0.056435644,0.019645813,0.032728534,-0.179104478,70.83450221
189,3.189,150.4,0.032967033,0.06003937,0.019989102,0.02900414,-0.126984127,92.40143353
189,3.366,152.3,0.01061712,0.052889324,0.024040886,0.032403704,-0.133333333,90.2989213
189,3.527,152.8,0.020026702,0.045586809,0.019042285,0.031429683,-0.206896552,84.67881724
189,3.526,154.6,0.036193029,0.048262548,0.018232685,0.030228387,-0.183333333,101.8362283
189,3.524,155.8,0.032471836,0.04099142,0.018623662,0.032729081,-0.196969697,80.58253872
189,3.485,156.8,0.014886731,0.049952875,0.021876668,0.032721313,-0.15625,76.54671982
189,3.375,158.7,0.047524752,0.04981203,0.021107328,0.03127425,-0.147540984,73.75106135
189,3.27,156,0.030383091,0.055765595,0.023988046,0.03676235,-0.186440678,80.07373323
203,3.079,159,0.053677932,0.059981256,0.035852781,0.050642523,-0.224137931,93.11286886
203,2.835,152.2,0.029073698,0.057835821,0.028805063,0.041148161,-0.2,76.86475504
203,2.472,149.2,0.031098825,0.073420074,0.026168965,0.038659859,-0.211538462,63.45822526
203,2.009,152.1,0.033990483,0.063730084,0.036587514,0.048308273,-0.181818182,72.80607828
203,2.071,155.3,0.032579787,0.053853296,0.033590513,0.047050838,-0.218181818,91.77046139
366,3.612,145.2,0.027600849,0.01938354,0.008127081,0.007215785,0.011764706,240.5526926
366,3.548,144.1,0.021985816,0.021697511,0.007628357,0.010391291,-0.023255814,221.6746266
366,3.438,142.9,0.033261027,0.035197368,0.010238127,0.008929673,0.011904762,217.3860605
275,3.563,142.4,0.017142857,0.062590449,0.009052413,0.007820001,0.010989011,121.2696639
275,3.759,143.9,0.021291696,0.059956395,0.013237269,0.009243783,0.033333333,133.1813436
275,3.901,149,0.037604457,0.044467787,0.012095189,0.007660201,0.047058824,170.448048
312,4.014,147.6,0.035789474,0.025982678,0.010709752,0.006705874,0.049382716,208.4105418
312,3.875,146,0.023842917,0.010022632,0.015156166,0.010348113,0.048192771,217.88218
312,3.653,147.2,0.037350247,0.0085796,0.018483968,0.014148205,0.046511628,215.9700271
287,3.648,148,0.032078103,0,0.014636799,0.009635377,0.04494382,187.8192059
287,3.873,148.7,0.036236934,0.00092564,0.008063228,0.006154915,0.023255814,192.6353291
366,4.014,148.4,0.033426184,0.000933416,0.008920892,0.01267476,-0.045977011,244.5367305
